FECHA_PRECIO,ANIO_PRECIO,MES_PRECIO,DIA_PRECIO,DEPARTAMENTO_EDS,MUNICIPIO_EDS,NOMBRE_COMERCIAL_EDS,PRECIO_PROMEDIO_PUBLICADO,TIPO_COMBUSTIBLE,CODIGO_MUNICIPIO_DANE,LATITUD_MUNICIPIO,LONGITUD_MUNICIPIO
2024-09-01,2024,09,01,SANTANDER,BUCARAMANGA,CAMOVA,2299,GNCV,68001,7.1558337212,-73.1115722656
2024-07-01,2024,07,01,SANTANDER,BUCARAMANGA,CAMOVA,2249,GNCV,68001,7.1558337212,-73.1115722656
2024-10-01,2024,10,01,CUNDINAMARCA,CHIA,CHIA EDS - GNV,2787,GNCV,25175,4.8578238487,-74.0380935669
2024-10-01,2024,10,01,CALDAS,MANIZALES,ESTACIÓN DE SERVICIO CALDAS,3324,GNCV,17001,5.0834331512,-75.5072784424
2024-10-01,2024,10,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO COMBUSCOL EL DORADO,2718,GNCV,11001,4.6529541016,-74.0835647583
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIOS LAS CEIBAS CALI S.A.S.,3336,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO TERPEL CAÑAVERALEJO - GNV,3367,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,RISARALDA,PEREIRA,EDS SANTA HELENA,2869,GNCV,66001,4.8036627769,-75.795791626
2024-10-01,2024,10,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACION DE SERVICIO COMBUSCOL HEROES,2717,GNCV,11001,4.6529541016,-74.0835647583
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,ESTACION DE SERVICIO AUTOMOTRIZ GUADUALES GNV,3367,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,EDS AMARILLO Y CREMA GNV,3102,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,BOGOTA D.C.,"BOGOTA, D.C.",ESTACIÓN DE SERVICIO LAS FLORES,2358,GNCV,11001,4.6529541016,-74.0835647583
2024-10-01,2024,10,01,VALLE DEL CAUCA,CALI,VALLE DE LILI - GNV,3117,GNCV,76001,3.3990437984,-76.5764923096
2024-10-01,2024,10,01,ATLANTICO,BARRANQUILLA,ESTACION DE SERVICIO TERPEL PUERTA DE ORO - GNV,2331,GNCV,08001,10.9815206528,-74.8277130127
